"Name","Tier","Type","Difficulty","Major_Threshold","Severe_Threshold","HP","Stress","Attack_Modifier","Attack_Range","Damage_Dice","Experiences","Features","Description","Motives_Tactics"
"Dire Bat","3","Skulk","14","16","30","5","3","2","Melee","2d6+7 phy","[{""name"":""Bloodthirsty"",""value"":3}]","[{""name"":""Flying"",""description"":""While flying, the Bat gains a +3 bonus to their Difficulty.Screech—Action: Mark a Stress to send a high-pitch screech out toward all targets in front of the Bat within Far range. Those targets must mark 1d4 Stress.""},{""name"":""Guardian"",""description"":""When an allied Vampire marks HP, you can mark a Stress to fly into Melee range of the attacker and make an attack with advantage against them. On a success, deal 2d6+2 physical damage.""}]","On a success, deal 2d6+2 physical damage.","ire BatPage 230"
"Dire Wolf","1","Skulk","12","5","9","4","3","2","Melee","1d6+2 phy","[{""name"":""Keen Senses"",""value"":3}]","[{""name"":""Pack Tactics"",""description"":""If the Wolf makes a successful standard attack and another Dire Wolf is within Melee range of the target, deal 1d6+5 physical damage instead of their standard damage and you gain a Fear.""},{""name"":""Hobbling Strike"",""description"":""Mark a Stress to make an attack against a target within Melee range. On a success, deal 3d4+10 direct physical damage and make them Vulnerable until they clear at least 1""}]","Dire WolfPage 211","ire WolfPage 211"
"Dryad","3","Leader","16","24","38","8","5","4","Melee","3d10+1 phy","[{""name"":""Forest Knowledge"",""value"":4}]","[{""name"":""Bramble Patch"",""description"":""Mark a Stress to target a point within Far range. Create a patch of thorns that covers an area within Close range of that point. All targets within that area take 2d6+2 physical damage when they act. A target must succeed on a Finesse Roll or take more than 20 damage to the Dryad with an attack to leave the area.""},{""name"":""Grow Saplings"",""description"":""Spend a Fear to grow three Treant Sapling Minions, who appear at Close range and immediately take the spotlight.""},{""name"":""We Are All One"",""description"":""When an ally dies within Close range, you can spend a Fear to clear 2 HP and 2 Stress as the fallen ally's life force is returned to the forest.""}]","DryadPage 230","Page 230"
"Electric Eels","2","Horde","14","10","20","5","3","0","Melee","2d6+4 phy","","[{""name"":""Paralyzing Shock"",""description"":""Mark a Stress to make a standard attack against all targets within Very Close range.""}]","Electric EelsPage 222","Electric EelsPage 222"
"Elemental Spark","3","Minion","15",,,"1","1","0","Melee","5 mag","","[{""name"":""Group Attack"",""description"":""Spend a Fear to choose a target and spotlight all Elemental Sparks within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 5 physical damage each.""}]","Combine this damage.","Elemental SparkPage 230"
"Elite Soldier","2","Standard","15","9","18","4","3","1","Melee","2d8+4 phy","","[{""name"":""Reinforce"",""description"":""Mark a Stress to move into Melee range of an ally and make a standard attack against a target within Very Close range. On a success, deal 2d10+2 physical damage and the ally can clear a Stress.Vassal's""},{""name"":""Loyalty"",""description"":""When the Soldier is within Very Close range of a knight or other noble who would take damage, you can mark a""}]","Elite SoldierPage 222","ierPage 222"
"Failed Experiment","2","Standard","13","1","23","3","3","1","Melee","2d6+5 phy","[{""name"":""Copycat"",""value"":3}]","[{""name"":""Warped Fortitude"",""description"":""The Experiment is resistant to physical damage.""},{""name"":""Overwhelm"",""description"":""When a target the Experiment attacks has other adversaries within Very Close range, the Experiment deals double damage.""}]","Lurching Lunge—Action: Mark a Stress to spotlight the Experiment as an additional GM move instead of spending Fear.","ExperimentPage 223"
"Fallen Shock Troop","4","Minion","18",,,"1","1","2","Melee","12 phy","","[{""name"":""Aura of Doom"",""description"":""When a PC marks HP from an attack by the Shock Troop, they lose a Hope.""},{""name"":""Group Attack"",""description"":""Spend a Fear to choose a target and spotlight all Fallen Shock Troops within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 12 physical damage each.""}]","Combine this damage.","Fallen Shock TroopPage 234"
"Fallen Sorcerer","4","Support","19","26","42","6","5","4","Melee","4d6+10 mag","[{""name"":""Ancient Knowledge"",""value"":2}]","","When a PC fails to break free, they lose a Hope.","Fallen SorcererPage 234"
"Fallen Warlord: Realm-Breaker","4","Solo","20","36","66","8","5","7","Melee","4d8+7 phy","[{""name"":""Conquest"",""value"":3},{""name"":""History"",""value"":2},{""name"":""Intimidation"",""value"":3}]","","Fallen Warlord: Realm-BreakerPage 235",": Realm-BreakerPage 235"
"Fallen Warlord: Undefeated Champion","4","Solo","18","3","58","11","5","8","Melee","4d12+13 phy","[{""name"":""Conquest"",""value"":3},{""name"":""History"",""value"":2},{""name"":""Intimidation"",""value"":3}]","[{""name"":""Faltering Armor"",""description"":""When the Undefeated Champion takes damage, reduce it by 1d10.""},{""name"":""Shattering Strike"",""description"":""Mark a Stress to make a standard attack against all targets within Very Close range. PCs the Champion succeeds against lose a number of Hope equal to the HP they marked from this attack.""},{""name"":""Endless Legions"",""description"":""Spend a Fear to summon a number of Fallen Shock Troops equal to twice the number of PCs. The Shock Troops appear at Far range.""},{""name"":""Circle of Defilement"",""description"":""Countdown (1d8). When the Undefeated Champion is in the spotlight for the first time, activate the countdown. When it triggers, activate a magical circle covering an area within Far range of the Champion. A target within that area is Vulnerable until they leave the circle. The circle can be removed by dealing Severe damage to the Undefeated Champion.""},{""name"":""Momentum"",""description"":""When the Undefeated Champion makes a successful attack against a PC, you gain a Fear.""},{""name"":""Doombringer"",""description"":""When a target marks HP from an attack by the Undefeated Champion, all""}]","Fallen Warlord: Undefeated ChampionPage 235","ChampionPage 235"
"Giant Beastmaster","2","Leader","16","1","24","6","5","2","Melee","2d8+4 phy","[{""name"":""Animal Handling"",""value"":3}]","[{""name"":""Two as One"",""description"":""When the Beastmaster is spotlighted, you can also spotlight a Tier 1 animal adversary currently under their control.""},{""name"":""Pinning Strike"",""description"":""Make a standard attack against a target. On a success, you can mark a Stress to pin them to a nearby surface. The pinned target is Restrained until they break free with a successful Finesse or Strength Roll.""},{""name"":""Deadly Companion"",""description"":""Twice per scene, summon a Bear, Dire Wolf, or similar Tier 1 animal adversary under the Beastmaster's control.""}]","The adversary appears at Close range and is immediately spotlighted.","Giant BeastmasterPage 223"
"Giant Brawler","2","Bruiser","15","1","28","7","4","2","Melee","2d12+3 phy","[{""name"":""Intrusion"",""value"":2}]","[{""name"":""Battering Ram"",""description"":""Mark a Stress to have the Brawler charge at an inanimate object within Close range they could feasibly smash (such as a wall, cart, or market stand) and destroy it. All targets within Very Close range of the object must succeed on an Agility Reaction Roll or take 2d4+3 physical damage from the shrapnel.""},{""name"":""Bloody Reprisal"",""description"":""When the Brawler marks 2 or more HP from an attack within Very Close range, you can make a standard attack against the attacker. On a success, the Brawler deals 2d6+15 physical damage instead of their standard damage.""},{""name"":""Momentum"",""description"":""When the Brawler makes a successful attack against a PC, you gain a""}]","Momentum—Reaction: When the Brawler makes a successful attack against a PC, you gain a Fear.","Giant BrawlerPage 223"
"Giant Eagle","2","Skulk","14","8","19","4","4","1","Melee","2d6+3 phy","","[{""name"":""Flight"",""description"":""While flying, the Eagle gains a +3 bonus to their Difficulty.""},{""name"":""Deadly Dive"",""description"":""Mark a Stress to attack a target within Far range. On a success, deal 2d10+2 physical damage and knock the target over, making them Vulnerable until they next act.""},{""name"":""Take Off"",""description"":""Make an attack against a target within Very Close range. On a success, deal 2d4+3 physical damage and the target must succeed on an Agility Reaction Roll or become temporarily Restrained within the Eagle's massive talons. If the target is Restrained, the Eagle immediately lifts them to the air to Very Far range above the battlefield while holding them.""},{""name"":""Deadly Drop"",""description"":""While flying, the Eagle can drop a Restrained target they are holding. When dropped, the target is no longer Restrained but starts falling. If their fall isn't prevented during the PCs' next action, the target takes 2d20 physical damage when they land.""}]","If their fall isn't prevented during the PCs' next action, the target takes 2d20 physical damage when they land.","Giant EaglePage 223"
"Giant Mosquitoes","1","Horde","10","5","9","6","3","0","Melee","1d6+4","[{""name"":""Camouflage"",""value"":2}]","[{""name"":""Flying"",""description"":""While flying, the Mosquitoes have a +2 bonus to their Difficulty.""},{""name"":""Bloodseeker"",""description"":""When the Mosquitoes' attack causes a target to mark HP, you can mark a""}]","Giant MosquitoesPage 211","Giant MosquitoesPage 211"
"Giant Rat","1","Minion","10",,,"1","1","0","Melee","1 phy","[{""name"":""Keen Senses"",""value"":3}]","[{""name"":""Group Attack"",""description"":""Spend a Fear to choose a target and spotlight all Giant Rats within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 1 physical damage each.""}]","Combine this damage.","Giant RatPage 211"
"Giant Recruit","2","Minion","13",,,"1","2","1","Melee","5 phy","","[{""name"":""Group Attack"",""description"":""Spend a Fear to choose a target and spotlight all Giant Recruits within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 5 physical damage each.""}]","Combine this damage.","Giant RecruitPage 223"
"Giant Scorpion","1","Bruiser","13","7","13","6","3","1","Melee","1d12+2 phy","[{""name"":""Camouflage"",""value"":2}]","[{""name"":""Double Strike"",""description"":""Mark a Stress to make a standard attack against two targets within Melee range.""},{""name"":""Venomous Stinger"",""description"":""Make an attack against a target within Very Close range. On a success, spend a Fear to deal 1d4+4 physical damage and Poison them until their next rest or they succeed on a Knowledge Roll (16). While Poisoned, the target must roll a d6 before they make an action roll. On a result of 4 or lower, they must mark a Stress.""},{""name"":""Momentum"",""description"":""When the Scorpion makes a successful attack against a PC, you gain a""}]","Momentum—Reaction: When the Scorpion makes a successful attack against a PC, you gain a Fear.","Giant ScorpionPage 211"
